second,Volt
-620.00E-06,-482.59999E-03
-600.00E-06,-488.84999E-03
-580.00E-06,-495.09999E-03
-560.00E-06,-495.09999E-03
-540.00E-06,-501.34999E-03
-520.00E-06,-513.84999E-03
-500.00E-06,-520.09999E-03
-480.00E-06,-520.09999E-03
-460.00E-06,-532.59999E-03
-440.00E-06,-538.84999E-03
-420.00E-06,-545.09999E-03
-400.00E-06,-551.34999E-03
-380.00E-06,-557.59999E-03
-360.00E-06,-557.59999E-03
-340.00E-06,-563.84999E-03
-320.00E-06,-576.34999E-03
-300.00E-06,-582.59999E-03
-280.00E-06,-582.59999E-03
-260.00E-06,-595.09999E-03
-240.00E-06,-595.09999E-03
-220.00E-06,-601.34999E-03
-200.00E-06,-607.59999E-03
-180.00E-06,-613.84999E-03
-160.00E-06,-620.09999E-03
-140.00E-06,-626.34999E-03
-120.00E-06,-645.09999E-03
-100.00E-06,-638.84999E-03
-80.00E-06,-645.09999E-03
-60.00E-06,-651.34999E-03
-40.00E-06,-657.59999E-03
-20.00E-06,-670.10000E-03
-0.0E+00,-670.10000E-03
+20.00E-06,-682.60000E-03
+40.00E-06,-688.85000E-03
+60.00E-06,-701.35000E-03
+80.00E-06,-701.35000E-03
+100.00E-06,-701.35000E-03
+120.00E-06,-720.10000E-03
+140.00E-06,-713.85000E-03
+160.00E-06,-726.35000E-03
+180.00E-06,-732.60000E-03
+200.00E-06,-732.60000E-03
+220.00E-06,-745.10000E-03
+240.00E-06,-751.35000E-03
+260.00E-06,-763.85000E-03
+280.00E-06,-770.10000E-03
+300.00E-06,-776.35000E-03
+320.00E-06,-782.60000E-03
+340.00E-06,-782.60000E-03
+360.00E-06,-795.10000E-03
+380.00E-06,-807.60000E-03
+400.00E-06,-813.85000E-03
+420.00E-06,-820.10000E-03
+440.00E-06,-826.35000E-03
+460.00E-06,-832.60000E-03
+480.00E-06,-838.85000E-03
+500.00E-06,-851.35000E-03
+520.00E-06,-851.35000E-03
+540.00E-06,-863.85000E-03
+560.00E-06,-863.85000E-03
+580.00E-06,-882.60000E-03
+600.00E-06,-882.60000E-03
+620.00E-06,-895.10000E-03
+640.00E-06,-901.35000E-03
+660.00E-06,-913.85000E-03
+680.00E-06,-907.60000E-03
+700.00E-06,-926.35000E-03
+720.00E-06,-913.85000E-03
+740.00E-06,-938.85000E-03
+760.00E-06,-938.85000E-03
+780.00E-06,-951.35000E-03
+800.00E-06,-963.85000E-03
+820.00E-06,-970.10000E-03
+840.00E-06,-970.10000E-03
+860.00E-06,-988.85000E-03
+880.00E-06,-988.85000E-03
+900.00E-06,-1.00135000E+00
+920.00E-06,-1.00135000E+00
+940.00E-06,-1.01385000E+00
+960.00E-06,-1.00760000E+00
+980.00E-06,-1.00760000E+00
+1.00000E-03,-1.00135000E+00
+1.02000E-03,-1.00135000E+00
+1.04000E-03,-995.10000E-03
+1.06000E-03,-982.60000E-03
+1.08000E-03,-970.10000E-03
+1.10000E-03,-963.85000E-03
+1.12000E-03,-951.35000E-03
+1.14000E-03,-945.10000E-03
+1.16000E-03,-938.85000E-03
+1.18000E-03,-926.35000E-03
+1.20000E-03,-926.35000E-03
+1.22000E-03,-920.10000E-03
+1.24000E-03,-907.60000E-03
+1.26000E-03,-901.35000E-03
+1.28000E-03,-895.10000E-03
+1.30000E-03,-888.85000E-03
+1.32000E-03,-876.35000E-03
+1.34000E-03,-863.85000E-03
+1.36000E-03,-857.60000E-03
+1.38000E-03,-857.60000E-03
+1.40000E-03,-851.35000E-03
+1.42000E-03,-845.10000E-03
+1.44000E-03,-826.35000E-03
+1.46000E-03,-820.10000E-03
+1.48000E-03,-826.35000E-03
+1.50000E-03,-813.85000E-03
+1.52000E-03,-807.60000E-03
+1.54000E-03,-795.10000E-03
+1.56000E-03,-782.60000E-03
+1.58000E-03,-776.35000E-03
+1.60000E-03,-776.35000E-03
+1.62000E-03,-770.10000E-03
+1.64000E-03,-763.85000E-03
+1.66000E-03,-757.60000E-03
+1.68000E-03,-751.35000E-03
+1.70000E-03,-738.85000E-03
+1.72000E-03,-732.60000E-03
+1.74000E-03,-726.35000E-03
+1.76000E-03,-720.10000E-03
+1.78000E-03,-713.85000E-03
+1.80000E-03,-707.60000E-03
+1.82000E-03,-701.35000E-03
+1.84000E-03,-695.10000E-03
+1.86000E-03,-688.85000E-03
+1.88000E-03,-676.35000E-03
+1.90000E-03,-676.35000E-03
+1.92000E-03,-670.10000E-03
+1.94000E-03,-657.59999E-03
+1.96000E-03,-657.59999E-03
+1.98000E-03,-645.09999E-03
+2.00000E-03,-638.84999E-03
+2.02000E-03,-632.59999E-03
+2.04000E-03,-632.59999E-03
+2.06000E-03,-626.34999E-03
+2.08000E-03,-607.59999E-03
+2.10000E-03,-613.84999E-03
+2.12000E-03,-601.34999E-03
+2.14000E-03,-595.09999E-03
+2.16000E-03,-582.59999E-03
+2.18000E-03,-582.59999E-03
+2.20000E-03,-576.34999E-03
+2.22000E-03,-576.34999E-03
+2.24000E-03,-570.09999E-03
+2.26000E-03,-557.59999E-03
+2.28000E-03,-551.34999E-03
+2.30000E-03,-545.09999E-03
+2.32000E-03,-532.59999E-03
+2.34000E-03,-532.59999E-03
+2.36000E-03,-532.59999E-03
+2.38000E-03,-520.09999E-03
+2.40000E-03,-513.84999E-03
+2.42000E-03,-507.59999E-03
