second,Volt1,Volt2,Volt3,Volt4
-1.120000E-03,-301.250004E-03,+10.000000E-03,-3.125000E-03,+112.400002E-03
-1.115000E-03,-301.250004E-03,+16.250000E-03,-0.0E+00,+112.400002E-03
-1.110000E-03,-307.500004E-03,+10.000000E-03,+6.250000E-03,+112.400002E-03
-1.105000E-03,-313.750004E-03,+28.750001E-03,+28.125000E-03,+118.650002E-03
-1.100000E-03,-313.750004E-03,+35.000001E-03,+34.375001E-03,+112.400002E-03
-1.095000E-03,-313.750004E-03,+35.000001E-03,+40.625001E-03,+112.400002E-03
-1.090000E-03,-313.750004E-03,+47.500001E-03,+46.875001E-03,+106.150002E-03
-1.085000E-03,-307.500004E-03,+53.750001E-03,-18.750000E-03,+99.900002E-03
-1.080000E-03,-320.000004E-03,+53.750001E-03,-3.125000E-03,+106.150002E-03
-1.075000E-03,-320.000004E-03,+66.250001E-03,-0.0E+00,+99.900002E-03
-1.070000E-03,-320.000004E-03,+72.500001E-03,-3.125000E-03,+93.650002E-03
-1.065000E-03,-326.250004E-03,+78.750001E-03,-3.125000E-03,+99.900002E-03
-1.060000E-03,-320.000004E-03,+60.000001E-03,+62.500001E-03,+93.650002E-03
-1.055000E-03,-326.250004E-03,+91.250001E-03,+87.500001E-03,+99.900002E-03
-1.050000E-03,-320.000004E-03,+85.000001E-03,+90.625001E-03,+87.400001E-03
-1.045000E-03,-326.250004E-03,+97.500002E-03,+100.000001E-03,+87.400001E-03
-1.040000E-03,-320.000004E-03,+97.500002E-03,+103.125002E-03,+81.150001E-03
-1.035000E-03,-320.000004E-03,+110.000002E-03,+6.250000E-03,+74.900001E-03
-1.030000E-03,-326.250004E-03,+116.250002E-03,+0.0E+00,+74.900001E-03
-1.025000E-03,-326.250004E-03,+116.250002E-03,+0.0E+00,+74.900001E-03
-1.020000E-03,-326.250004E-03,+122.500002E-03,+3.125000E-03,+68.650001E-03
-1.015000E-03,-326.250004E-03,+128.750002E-03,+0.0E+00,+81.150001E-03
-1.010000E-03,-326.250004E-03,+122.500002E-03,+112.500002E-03,+62.400001E-03
-1.005000E-03,-326.250004E-03,+141.250002E-03,+140.625002E-03,+68.650001E-03
-1.000000E-03,-320.000004E-03,+147.500002E-03,+146.875002E-03,+56.150001E-03
-995.000E-06,-320.000004E-03,+153.750002E-03,+150.000002E-03,+62.400001E-03
-990.000E-06,-320.000004E-03,+153.750002E-03,+153.125002E-03,+56.150001E-03
-985.000E-06,-320.000004E-03,+160.000002E-03,+18.750000E-03,+62.400001E-03
-980.000E-06,-320.000004E-03,+172.500003E-03,+3.125000E-03,+49.900001E-03
-975.000E-06,-320.000004E-03,+172.500003E-03,+3.125000E-03,+56.150001E-03
